time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
705	123	60	1	1460	670	4	416	kw	s		0	s	3	1	1	0
500	124	120	0.4	11370	8520	5	501	w	a	m	c	s	3		1	0
640	125	240	0.75	10700	10494	2	421	w	a	s	c	sd	3	1		0
750	126	180	0.5	2390	945	5	424	w	a	m	c	s	2	1	1	0
730	127	120	0.75	10700	10494	2	421	w	a	s	c	s	3		1	0
420	128	60	0.75	7049	5535	1	413	w	s	m	c	sr	3	1		0
435	128	60	0.85	3900	6050	5	417	w	s	m	c	sr	2	1		0
520	128	60	0.5	6963	5785	3	429	w		m	c	sr	3	1		0
632	129	100	0.8	3900	6050	5	417	w	a	m	c	f	2	1	0	0
640	129	240	0.85	6570	6470	4	423	w	a	m	c	f	3	1	0	0
710	129	300	0.75	11875	9655	4	416	w	a	m	c	f	1	1	0	0
715	130	400	0.6	7049	5535	1	413	w	a	s	c	s	3	1	1	0
600	131	900	0.55	15940	15455	5	424	w	a	m	c	sf	2	1		0
617	132	60	0.75	85	149	1	504	kw	a		0	s	4		1	0
540	133	240	0.75	11875	9655	4	416	w	a	m	c	s	1		1	1
432	134	240	1.75	4020	3420	5	508	w	a	m	c	sf	3	2		0
516	134	200	0.6	6963	5785	3	429	w	a	l	c	sf	3	2		0
516	134	120	0.5	6963	5785	3	429	w	a	m	c	sf	3	2		0
458	134	400	0.85	15940	15455	5	424	w	a	m	c	sf	1	2		0
	135	60	0.75	10700	10494	2	421	w	a		c	s		2	1	0
	135	100	0.75	10700	10494	2	421	w	a		c	s		2	1	0
648	135	300	0.3	1610	6260	1	504	w	a	m	c	s	5	2	1	0
801	136	120	0.75	11875	9655	4	416	w	a	m	c	s	1		1	0
800	136	200	0.75	1625	1376	5	417	kw	a		c	s	5		1	0
455	137	60	0.65	8160	5060	1	427	w	s	m	0	s	2	3	1	0
720	138	720	0.35	6963	5785	3	429	w	a	m	c	s	3	1	1	0
515	139	60	1.25	6080	4780	4	507	w	a	m	c		3			0
544	139	60	0.85	6570	6470	4	423	w	a	m	c		3			0
701	140	60	0.75	200	2260	2	414	w	s	m	c	s	3		1	0
703	140	60	0.75	10700	10494	2	421	w	s	s	c	s	3		1	0
710	140	50	1.25	2305	1450	3	506	w	s	m	c	s	3		1	0
744	140	60	0.55	15940	15455	5	424	w	s	m	c	s	2		1	0
335	141	120	1.1	990	1700	4	423	kw	a		0	s	3	1	1	0
400	141	60	1.1	85	149	1	504	kw	a		0	s	1	1	1	0
500	141	65	1.5	495	425	3	506	kw	a		0	s	3	1	1	0
435	142	100	0.85	10700	10494	2	421	w	s	l	c	s	3		1	0
552	142	360	0.6	15940	15455	5	424	w	s	m	c	s	2		1	0
625	142	50	1.25	6080	4780	4	507	w	s	m	c	s	3		1	0
650	143	50	0.9	6570	6470	4	423	w	a		c	s			1	0
432	144	240	1.75	4020	3420	5	508	w	a	m	c	sf	3	1		0
625	144	100	1.25	2305	1450	3	506	w	a	m	c	sf	3	1		0
635	144	100	1.25	6080	4780	4	507	w	a	m	c	sf	3	1		0
640	144	120	0.85	3940	4118	3	422	w	a	s	c	sf	1	1		0
650	144	120	0.65	8160	5060	1	427	w	a	m	c	sf	3	1		0
646	145	150	0.3	7694	9050	4	430	w	a	l	c	f	5		0	0
730	146	180	0.6	8160	5060	1	427	w	a		c					0
626	146	100	1.25	2305	1450	3	506	w	a	m	c		3			0
701	146	180	0.75	10700	10494	2	421	w	a	s	c		3			0
801	146	120	0.75	11875	9655	4	416	w	a	m	c		1			0
655	147	60	0.3	1610	6260	1	504	w	a	m	c		5			0
701	148	200	1.25	6080	4780	4	507	w	a	m	c	sf	3			0
745	148	180	0.5	15940	15455	5	424	w	a	m	c	sf	2			0
415	149	120	1.75	4020	3420	5	508	w	a	m	c	s	3	1	1	1
735	149	100	1	3940	4118	3	422	w	a	l	c	s	3	1	1	0
740	149	60	0.9	3940	4118	3	422	w	a	m	c	s	1	1	1	0
630	150	100	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
